/dlm_data_19700101_000747.gdat:
Parameter ID, Timestamp, Data
5, 1260, 1974808.000000
3, 1260, 134.000000
4, 1260, 4364.000000
5, 1220, 1974656.000000
3, 1220, 96.000000
4, 1220, 4288.000000
5, 1210, 1974620.000000
3, 1210, 87.000000
4, 1210, 4270.000000
11, 1200, 49531.871094
9, 1200, -1974588.000000
10, 1200, -3949176.000000
5, 1200, 1974588.000000
3, 1200, 79.000000
4, 1200, 4254.000000
5, 1170, 1974476.000000
3, 1170, 51.000000
4, 1170, 4198.000000
5, 1160, 1974440.000000
3, 1160, 42.000000
4, 1160, 4180.000000
5, 1150, 1974404.000000
3, 1150, 33.000000
4, 1150, 4162.000000
5, 1140, 1974368.000000
3, 1140, 24.000000
4, 1140, 4144.000000
5, 1110, 1974256.000000
3, 1110, 252.000000
4, 1110, 4088.000000
11, 1100, 49522.527344
9, 1100, -1974220.000000
10, 1100, -3948440.000000
5, 1090, 1974184.000000
3, 1090, 234.000000
4, 1090, 4052.000000
5, 1080, 1974148.000000
4, 1080, 4034.000000
3, 1080, 225.000000
5, 1070, 1974116.000000
3, 1070, 217.000000
4, 1070, 4018.000000
5, 1060, 1974080.000000
3, 1060, 208.000000
4, 1060, 4000.000000
5, 1050, 1974044.000000
3, 1050, 199.000000
4, 1050, 3982.000000
5, 1010, 1973892.000000
3, 1010, 161.000000
4, 1010, 3906.000000
5, 1000, 1973856.000000
3, 1000, 152.000000
4, 1000, 3888.000000
5, 990, 1973820.000000
3, 990, 143.000000
4, 990, 3870.000000
5, 980, 1973784.000000
3, 980, 134.000000
4, 980, 3852.000000
5, 960, 1973712.000000
3, 960, 116.000000
4, 960, 3816.000000
5, 950, 1973676.000000
3, 950, 107.000000
4, 950, 3798.000000
11, 900, 49503.941406
9, 900, -1973488.000000
10, 900, -3946976.000000
5, 900, 1973488.000000
3, 900, 60.000000
4, 900, 3704.000000
5, 890, 1973452.000000
3, 890, 51.000000
4, 890, 3686.000000
5, 860, 1973336.000000
3, 860, 22.000000
4, 860, 3628.000000
5, 830, 1973224.000000
3, 830, 250.000000
4, 830, 3572.000000
5, 820, 1973188.000000
3, 820, 241.000000
4, 820, 3554.000000
5, 810, 1973152.000000
3, 810, 232.000000
4, 810, 3536.000000
5, 800, 1973116.000000
