Parameter ID, Timestamp, Data
3, 1011, 155.000000
4, 1011, 13110.000000
5, 1011, 681580.000000
9, 1000, -681548.000000
10, 1000, -1363096.000000
11, 1000, 17009.761719
7, 1000, 109.000000
8, 1000, -13094.000000
6, 1000, 1363096.000000
3, 1000, 147.000000
4, 1000, 13094.000000
5, 1000, 681548.000000
3, 990, 138.000000
4, 990, 13076.000000
5, 990, 681512.000000
3, 980, 129.000000
4, 980, 13058.000000
5, 980, 681476.000000
3, 970, 120.000000
4, 970, 13040.000000
5, 970, 681440.000000
3, 960, 111.000000
4, 960, 13022.000000
5, 960, 681404.000000
7, 950, -102.000000
8, 950, -13004.000000
6, 950, 1362736.000000
5, 950, 681368.000000
3, 950, 102.000000
4, 950, 13004.000000
3, 940, 93.000000
4, 940, 12986.000000
5, 940, 681332.000000
3, 930, 84.000000
4, 930, 12968.000000
5, 930, 681296.000000
3, 920, 75.000000
4, 920, 12950.000000
5, 920, 681260.000000
3, 910, 66.000000
4, 910, 12932.000000
5, 910, 681224.000000
9, 900, -681192.000000
10, 900, -1362384.000000
11, 900, 17000.896484
7, 900, -58.000000
8, 900, -12916.000000
6, 900, 1362384.000000
3, 900, 58.000000
4, 900, 12916.000000
5, 900, 681192.000000
3, 890, 49.000000
4, 890, 12898.000000
5, 890, 681156.000000
3, 880, 40.000000
4, 880, 12880.000000
5, 880, 681120.000000
3, 870, 31.000000
4, 870, 12862.000000
5, 870, 681084.000000
3, 860, 22.000000
4, 860, 12844.000000
5, 860, 681048.000000
7, 850, -13.000000
8, 850, -12826.000000
6, 850, 1362024.000000
5, 850, 681012.000000
3, 850, 13.000000
4, 850, 12826.000000
3, 840, 4.000000
4, 840, 12808.000000
5, 840, 680976.000000
3, 830, 251.000000
4, 830, 12790.000000
5, 830, 680940.000000
3, 820, 242.000000
4, 820, 12772.000000
5, 820, 680904.000000
3, 810, 233.000000
4, 810, 12754.000000
5, 810, 680868.000000
9, 800, -680836.000000
10, 800, -1361672.000000
11, 800, 16992.031250
7, 800, 31.000000
8, 800, -12738.000000
6, 800, 1361672.000000
3, 800, 225.000000
4, 800, 12738.000000
5, 800, 680836.000000
3, 790, 216.000000
4, 790, 12720.000000
5, 790, 680800.000000
3, 780, 207.000000
4, 780, 12702.000000
5, 780, 680764.000000
3, 770, 198.000000
4, 770, 12684.000000
5, 770, 680728.000000
3, 760, 189.000000
4, 760, 12666.000000
5, 760, 680692.000000
7, 750, 76.000000
8, 750, -12648.000000
6, 750, 1361312.000000
5, 750, 680656.000000
3, 750, 180.000000
4, 750, 12648.000000
3, 740, 171.000000
4, 740, 12630.000000
5, 740, 680620.000000
3, 730, 162.000000
4, 730, 12612.000000
5, 730, 680584.000000
3, 720, 153.000000
4, 720, 12594.000000
5, 720, 680548.000000
3, 710, 144.000000
4, 710, 12576.000000
5, 710, 680512.000000
9, 700, -680480.000000
10, 700, -1360960.000000
11, 700, 16983.166016
7, 700, 120.000000
8, 700, -12560.000000
6, 700, 1360960.000000
3, 700, 136.000000
4, 700, 12560.000000
5, 700, 680480.000000
3, 690, 127.000000
4, 690, 12542.000000
5, 690, 680444.000000
3, 680, 118.000000
4, 680, 12524.000000
5, 680, 680408.000000
3, 670, 109.000000
4, 670, 12506.000000
5, 670, 680372.000000
3, 660, 100.000000
4, 660, 12488.000000
5, 660, 680336.000000
7, 650, -91.000000
8, 650, -12470.000000
6, 650, 1360600.000000
5, 650, 680300.000000
3, 650, 91.000000
4, 650, 12470.000000
3, 640, 82.000000
4, 640, 12452.000000
5, 640, 680264.000000
3, 630, 73.000000
4, 630, 12434.000000
5, 630, 680228.000000
3, 620, 64.000000
4, 620, 12416.000000
5, 620, 680192.000000
3, 610, 55.000000
4, 610, 12398.000000
5, 610, 680156.000000
9, 600, -680124.000000
10, 600, -1360248.000000
11, 600, 16974.300781
7, 600, -47.000000
8, 600, -12382.000000
6, 600, 1360248.000000
3, 600, 47.000000
4, 600, 12382.000000
5, 600, 680124.000000
3, 590, 38.000000
4, 590, 12364.000000
5, 590, 680088.000000
3, 580, 29.000000
4, 580, 12346.000000
5, 580, 680052.000000
3, 570, 20.000000
4, 570, 12328.000000
5, 570, 680016.000000
3, 560, 11.000000
4, 560, 12310.000000
5, 560, 679980.000000
7, 550, -2.000000
8, 550, -12292.000000
6, 550, 1359888.000000
3, 550, 2.000000
4, 550, 12292.000000
5, 550, 679944.000000
3, 540, 249.000000
4, 540, 12274.000000
5, 540, 679908.000000
3, 530, 240.000000
4, 530, 12256.000000
5, 530, 679872.000000
3, 520, 231.000000
4, 520, 12238.000000
5, 520, 679836.000000
3, 510, 222.000000
4, 510, 12220.000000
5, 510, 679800.000000
9, 500, -679768.000000
10, 500, -1359536.000000
11, 500, 16965.435547
7, 500, 42.000000
8, 500, -12204.000000
6, 500, 1359536.000000
3, 500, 214.000000
4, 500, 12204.000000
5, 500, 679768.000000
3, 490, 205.000000
4, 490, 12186.000000
5, 490, 679732.000000
3, 480, 196.000000
4, 480, 12168.000000
5, 480, 679696.000000
3, 470, 187.000000
4, 470, 12150.000000
5, 470, 679660.000000
3, 460, 178.000000
4, 460, 12132.000000
5, 460, 679624.000000
7, 450, 87.000000
8, 450, -12114.000000
6, 450, 1359176.000000
3, 450, 169.000000
4, 450, 12114.000000
5, 450, 679588.000000
3, 440, 160.000000
4, 440, 12096.000000
5, 440, 679552.000000
3, 430, 151.000000
4, 430, 12078.000000
5, 430, 679516.000000
3, 420, 142.000000
4, 420, 12060.000000
5, 420, 679480.000000
3, 410, 133.000000
4, 410, 12042.000000
5, 410, 679444.000000
9, 400, -679412.000000
10, 400, -1358824.000000
11, 400, 16956.570312
7, 400, -125.000000
8, 400, -12026.000000
6, 400, 1358824.000000
3, 400, 125.000000
4, 400, 12026.000000
5, 400, 679412.000000
3, 390, 116.000000
4, 390, 12008.000000
5, 390, 679376.000000
3, 380, 107.000000
4, 380, 11990.000000
5, 380, 679340.000000
3, 370, 98.000000
4, 370, 11972.000000
5, 370, 679304.000000
3, 360, 89.000000
4, 360, 11954.000000
5, 360, 679268.000000
7, 350, -80.000000
8, 350, -11936.000000
6, 350, 1358464.000000
3, 350, 80.000000
4, 350, 11936.000000
5, 350, 679232.000000
3, 340, 71.000000
4, 340, 11918.000000
5, 340, 679196.000000
3, 330, 62.000000
4, 330, 11900.000000
5, 330, 679160.000000
3, 320, 53.000000
4, 320, 11882.000000
5, 320, 679124.000000
3, 310, 44.000000
4, 310, 11864.000000
5, 310, 679088.000000
9, 300, -679056.000000
10, 300, -1358112.000000
11, 300, 16947.705078
7, 300, -36.000000
8, 300, -11848.000000
6, 300, 1358112.000000
3, 300, 36.000000
4, 300, 11848.000000
