Parameter ID, Timestamp, Data
3, 990, 196.000000
4, 990, 60808.000000
5, 990, 7592720.000000
3, 980, 187.000000
4, 980, 60790.000000
5, 980, 7592684.000000
3, 970, 178.000000
4, 970, 60772.000000
5, 970, 7592648.000000
3, 960, 169.000000
4, 960, 60754.000000
5, 960, 7592612.000000
7, 950, 96.000000
8, 950, 4800.000000
6, 950, 15185152.000000
3, 950, 160.000000
4, 950, 60736.000000
5, 950, 7592576.000000
3, 940, 151.000000
4, 940, 60718.000000
5, 940, 7592540.000000
3, 930, 142.000000
4, 930, 60700.000000
5, 930, 7592504.000000
3, 920, 133.000000
4, 920, 60682.000000
5, 920, 7592468.000000
3, 910, 124.000000
4, 910, 60664.000000
5, 910, 7592432.000000
9, 900, -7592400.000000
10, 900, -15184800.000000
11, 900, 187471.656250
7, 900, -116.000000
8, 900, 4888.000000
6, 900, 15184800.000000
3, 900, 116.000000
4, 900, 60648.000000
5, 900, 7592400.000000
3, 890, 107.000000
4, 890, 60630.000000
5, 890, 7592364.000000
3, 880, 98.000000
4, 880, 60612.000000
5, 880, 7592328.000000
3, 870, 89.000000
4, 870, 60594.000000
5, 870, 7592292.000000
3, 860, 80.000000
4, 860, 60576.000000
5, 860, 7592256.000000
7, 850, -71.000000
8, 850, 4978.000000
6, 850, 15184440.000000
3, 850, 71.000000
4, 850, 60558.000000
5, 850, 7592220.000000
3, 840, 62.000000
4, 840, 60540.000000
5, 840, 7592184.000000
3, 830, 53.000000
4, 830, 60522.000000
5, 830, 7592148.000000
3, 820, 44.000000
4, 820, 60504.000000
5, 820, 7592112.000000
3, 810, 35.000000
4, 810, 60486.000000
5, 810, 7592076.000000
9, 800, -7592044.000000
10, 800, -15184088.000000
11, 800, 187463.312500
7, 800, -27.000000
8, 800, 5066.000000
6, 800, 15184088.000000
3, 800, 27.000000
4, 800, 60470.000000
5, 800, 7592044.000000
3, 790, 18.000000
4, 790, 60452.000000
5, 790, 7592008.000000
3, 780, 9.000000
4, 780, 60434.000000
5, 780, 7591972.000000
3, 770, 0.000000
4, 770, 60416.000000
5, 770, 7591936.000000
3, 760, 247.000000
4, 760, 60398.000000
5, 760, 7591900.000000
7, 750, 18.000000
8, 750, 5156.000000
6, 750, 15183728.000000
3, 750, 238.000000
4, 750, 60380.000000
5, 750, 7591864.000000
3, 740, 229.000000
4, 740, 60362.000000
5, 740, 7591828.000000
3, 730, 220.000000
4, 730, 60344.000000
5, 730, 7591792.000000
3, 720, 211.000000
4, 720, 60326.000000
5, 720, 7591756.000000
3, 710, 202.000000
4, 710, 60308.000000
5, 710, 7591720.000000
9, 700, -7591688.000000
10, 700, -15183376.000000
11, 700, 187454.968750
7, 700, 62.000000
8, 700, 5244.000000
6, 700, 15183376.000000
3, 700, 194.000000
4, 700, 60292.000000
5, 700, 7591688.000000
3, 690, 185.000000
4, 690, 60274.000000
5, 690, 7591652.000000
3, 680, 176.000000
4, 680, 60256.000000
5, 680, 7591616.000000
3, 670, 167.000000
4, 670, 60238.000000
5, 670, 7591580.000000
3, 660, 158.000000
4, 660, 60220.000000
5, 660, 7591544.000000
7, 650, 107.000000
8, 650, 5334.000000
6, 650, 15183016.000000
3, 650, 149.000000
4, 650, 60202.000000
5, 650, 7591508.000000
3, 640, 140.000000
4, 640, 60184.000000
5, 640, 7591472.000000
3, 630, 131.000000
4, 630, 60166.000000
5, 630, 7591436.000000
3, 620, 122.000000
4, 620, 60148.000000
5, 620, 7591400.000000
3, 610, 113.000000
4, 610, 60130.000000
5, 610, 7591364.000000
9, 600, -7591332.000000
10, 600, -15182664.000000
11, 600, 187446.625000
7, 600, -105.000000
